title,description,class
AT T Posts \$7.1 Billion Loss on Writedown, WASHINGTON (Reuters) - AT T Corp. on Thursday reported a  \$7.1 billion third-quarter loss due to an \$11.4 billion  writedown of its assets after its retreat from consumer  services and other restructuring charges.,Business
Clayton enjoys homecoming,"NEW ORLEANS - Tampa Bay coach Jon Gruden may not have realized it, but he had the perfect four-leaf clover for his teams 0-4 start as it walked into the Louisiana Superdome Sunday morning.",Sports
NASA Mountain View claims world #39;s fastest computer,"Silicon Graphics, Inc., of Mountain View, and the National Aeronautics and Space Administration on Tuesday claimed NASA #39;s new Intel Itanium 2 processor-based  quot;Columbia quot; supercomputer is the most powerful computer in the world.",Sci/Tech
Milosevic says Serbs not guilty,Ex-Yugoslav leader Slobodan Milosevic denies Serbs committed war crimes he is accused of orchestrating.,World
"Office Depot CEO, chairman resigns","Office Depot Inc., the second largest US office supply chain, said Monday Chairman and Chief Executive Officer Bruce Nelson has resigned and a search for his successor is underway.",Business
"Cingular, AT amp;T complete merger","Cingular Wireless today announced it has completed its previously announced merger with AT amp;T Wireless, creating the nation #39;s biggest wireless carrier with the ",Business
"Bettman, Union Meet","NHL commissioner Gary Bettman had lunch Friday with NHL Players #39; Association executive director Bob Goodenow in New York, and the league will listen to a new proposal from the union Thursday in Toronto.",Sports
El Paso Sees \$2.7 Bln Drop in Assets," NEW YORK/HOUSTON (Reuters) - El Paso Corp. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=EP.N target=/stocks/quickinfo/fullquote""&gt;EP.N&lt;/A&gt; on Monday  disclosed the full damage from its drastic cut in reserves  earlier this year, saying a long-awaited restatement will slash  the value of its oil and gas assets by \$2.7 billion.",Business
Clijsters Sidelined Until 2005, BRUSSELS (Reuters) - Kim Clijsters will be out of action  for the rest of the season but does not need more surgery on  her wrist after suffering an injury in the Belgian Open.,Sports
Israel kills Hamas leader in Gaza,"The Israel Defense Forces said Sunday its air force attacked a car in Gaza City, killing a Hamas field commander. The IDF identified the dead man as Khalid Abu Salmiya, a member of Hamas #39; military wing, Izzedine al Qassam.",World
Lawyers Not Close,Lawyers on both sides of Atlanta's Dany Heatley's vehicular homicide case said Monday they are not close to agreeing on a plea deal that would keep his case from going before a jury.,Sports
Honeywell suing 34 electronic companies for alleged patent &lt;b&gt;...&lt;/b&gt;,"Honeywell, with Valley-based aerospace operations, has filed a patent lawsuit against 34 electronics companies claiming infringement of its technology that increases the brightness of images and reduces certain interference effects on a liquid crystal ",Sci/Tech
Home fires burning for Holy Cross,"John O'Neil completed 21 of 33 passes for 268 yards and three touchdowns, and tailback Steve Silva added 121 yards and two touchdowns on 21 carries, as Holy Cross routed Marist, 44-13, yesterday in Worcester.",Sports
Lost Generation Coddles Its Young,"As a growing economy produces new wealth and a spreading middle class in China, the epochal Cultural Revolution has receded to the distant past in just one generation.",World
"NHS ties up 330million, 900,000 staff, nine-year deal with &lt;b&gt;...&lt;/b&gt;",The NHShas reached a landmark agreement with Microsoft on the renewal of the licensing of its desktop products in line with the Office of Government Commerce #39;s framework agreement with Microsoft.,Sci/Tech
Curtains for Poe: Da King is dead; long live Da King,"A MEMBER of the Philippine royal family in the movies moved on to the Great Beyond midnight Monday (December 14), sending his hordes of fans in mourning.",World
Global Exchange to buy IBM services units,B2B e-commerce specialist Global Exchange Services agrees to buy IBMs Electronic Data Interchange and Business Exchange Services divisions.,Sci/Tech
"In IMF talks, US shifts toward debt-forgiveness pact","WASHINGTON With public pledges and in private conversations, Britain managed over the weekend to move the United States closer to full forgiveness of the debts of the poorest countries during the annual meetings of the World Bank and the International ",Business
Stem Cell Companies Fall Amid Biotech Rise,"While most biotechnology stocks rose Wednesday, shares of major stem cell researchers fell sharply as George W. Bush #39;s victory in the presidential election was confirmed.",Business
MIT Aims to Make Computing Easy,"Professor wants to redesign chip software and hardware for the mobile age, creating chips that can power chameleon devices.&lt;br&gt;&lt;FONT face=""verdana,MS Sans Serif,arial,helvetica"" size=""-2"" color=""#666666""&gt;&lt;B&gt;-Leslie Walker&lt;/b&gt;&lt;/font&gt;",Sci/Tech
PM inaugurates Guru Granth Sahib research center in Capital,Prime Minister Dr Manmohan Singh inaugurated a research centre in the Capital on Thursday to mark 400 years of compilation of Sikh holy book the Guru Granth Sahib.,World
"ExxonMobil, Qatar land LNG financing","SAN FRANCISCO (CBS.MW) -- ExxonMobil Corp. and Qatar Petroleum said Wednesday they had lined up \$7.5 billion toward financing their giant Qatargas II project, which aims to export liquefied natural gas from the Middle East nation to Britain.",Business
Dementieva Beats Bovina in France (AP),"AP - Top-seeded Elena Dementieva won the last five games to come back and beat Elena Bovina 0-6, 6-0, 6-4 Sunday in the WTA Tour's latest all-Russian final to win the Gaz de France Stars tournament.",Sports
Rajasthan oil takes Cairn into FTSE 100,"Cairn Energy, the Edinburgh oil and gas group, yesterday became one of Britain #39;s top 100 companies, despite announcing a 40 slump in half-year profits and facing questions over its key oil discovery in India.",Business
Racing to beat the next bomb,As Indonesia #39;s police investigate the embassy bombing the fear is the attackers will strike again. Mark Coultan and Catharine Munro report from Jakarta.,World
The IT security vuln league table of fear,"A list of the worst 20 security vulnerabilities bedevilling Windows and *Nix systems was unveiled last Friday by the SANS (SysAdmin, Audit, Network, Security) Institute.",Sci/Tech
Lara awaits date with destiny,"West Indies have been on the wrong end of some serious vitriol this summer, not least in the British media, where they have been accused of fecklessness, indiscipline and general lack of backbone.",Sports
NL notables,Montreal's Tony Armas Jr. was a late scratch for his start at Philadelphia because of tendinitis in his right shoulder.,Sports
San Francisco Giants to Offer Wi-Fi Instant Replays,"SAN FRANCISCO (AP) -- Peanuts, hot dogs and wireless instant replays. It's the future of baseball...",Sci/Tech
UMass Arrests 35 After Game 6 of ALCS (AP),AP - University of Massachusetts police arrested 35 people early Wednesday morning after the Red Sox tied the Yankees in the sixth game of the American League Championship Series.,Sports
"No. 4 Miami 48, Louisiana Tech 0","Frank Gore and Tyrone Moss combined for three touchdowns, leading No. 4 Miami to a 48-0 victory over Louisiana Tech on Saturday. The Hurricanes, coming off a huge win against in-state and conference rival Florida State, certainly didn #39;t have a letdown.",Sports
Credit union beefs up database security,IPLocks will help Western Corporate Federal Credit Union meet government security requirements.,Sci/Tech
"Sprint, AT amp;T To Pay \$1.5 Million In Credit Case","WASHINGTON -- Sprint and AT amp;T will be paying a total of \$1.5 million to settle with federal regulators. The government charges the phone giants failed to inform potential customers of their rights under federal credit law, after they were denied service.",Business
